name,category,lat,lng
달콤브레드,기타,36.624024,127.5108042
유다락,기타,36.6279506,127.5015768
표가네명품순두부 금천점,한식,36.6321699,127.5043695
조개바다 용암점,일식,36.6083077,127.5036254
이경미감자탕 청주본점,한식,36.6087155,127.5050928
명장복국 용암점,한식,36.61394190000001,127.5001234
수영숯불갈매기 본점,한식,36.6158898,127.4970135
골목식당,기타,36.6154061,127.4990611
교차로기사식당,한식,36.620509,127.5098245
송어마을,일식,36.6188491,127.5020211
행복한밥상,한식,36.619658,127.495791
삼영부속구이 본점,한식,36.6201959,127.508978
고르고14,기타,36.6212214,127.5097371
카페일분 영운점,기타,36.6215431,127.4969387
한양 손칼국수콩나물밥,한식,36.618104,127.4970024
시골집,한식,36.6194576,127.4959271
오영,기타,36.61925859999999,127.4968469
화진다실,기타,36.6341258,127.4917418
용용생고기,한식,36.6331167,127.4929671
보네르현,기타,36.6362645,127.4934866
오자네왔는가 365소머리곰탕,한식,36.63265579999999,127.4939696
위드,기타,36.6344429,127.4913934
원조중원탑막국수,한식,36.6336297,127.4918889
본정케익 &초콜릿 도청점,기타,36.6343087,127.492388
이데아,기타,36.6328927,127.4918219
떡보의하루 청주점,기타,36.6328927,127.4918219
상당집,기타,36.6635355,127.5423863
원조중원탑막국수 상당산성점,기타,36.6643434,127.5413264
컵넛 청주상당산성점,기타,36.6644726,127.5410859
포레시안,기타,36.6538211,127.5464599
산성쭈꾸미,기타,36.6644146,127.5407932
더비(The B)1,기타,36.6635735,127.5420829
좋아식당,기타,36.6268374,127.4990981
탑동숯불생고기,기타,36.6278324,127.4955813
아이스크림스토리 탑동점,기타,36.6331952,127.4984246
용댕이매운탕,기타,36.6278519,127.4986937
송가네감자탕,기타,36.6252995,127.4982425
대구왕뽈때기,기타,36.6246077,127.5157745
산장화롯간,기타,36.6243117,127.5205754
조은날,기타,36.6290862,127.5176289
공주칼국수,기타,36.6245171,127.5156489
용자1 용정점,기타,36.6248646,127.5162129
더대청호,기타,36.5113516,127.4994812
성남집,기타,36.5208744,127.5137011
경남옥,기타,36.5169858,127.4966182
고은당,기타,36.5388197,127.5031878
청남생선국수,기타,36.5142799,127.4982191
러브레이크,기타,36.5134696,127.4966901
참살이콩이야기 본점,기타,36.5315433,127.502451
프레이밍,기타,36.64421,127.5575934
카페레오나,기타,36.6223898,127.6263133
일일일락,기타,36.5938229,127.6113082
오소담,기타,36.6307576,127.5965025
선녀와나무꾼,기타,36.6028488,127.620668
낭성칼국수,기타,36.6225602,127.6078425
카페다경,기타,36.622088,127.7008263
초원식당,기타,36.6367292,127.6575827
청년칼국수,기타,36.6374041,127.6601655
솔내음,기타,36.6132243,127.6771984
벤베누띠,기타,36.6319026,127.6506966
카페로코앤라뷰,기타,36.6086918,127.5629797
신대박부속구이 가덕본점,기타,36.5755692,127.5729586
산양골가든,기타,36.5978767,127.5683575
라다크커피숍,기타,36.5723551,127.5699229
너나드리,기타,36.5758775,127.5738371
마야카페,기타,36.5664687,127.5675243
해밀당,기타,36.5340964,127.5296716
여자만궁중칼국수,기타,36.534034,127.5048512
대장간이야기,기타,36.5482233,127.5113717
시골집,기타,36.5897977,127.5097887
에클로그,기타,36.5825561,127.5139348
오장동흥남집 청주점,기타,36.5673797,127.5108097
엔트라포레,기타,36.56945899999999,127.4791795
사례월,기타,36.5727543,127.4805056
삼흥집,기타,36.5652595,127.5094101
디플라워,기타,36.5912485,127.5228071
한우일번지,기타,36.5623089,127.5111695
프랭크커핀바 청주모충점,기타,36.6256373,127.4866786
남문갈매기 모충점,기타,36.626464,127.4797711
한가로이,기타,36.6210671,127.4908888
커피프로젝트,기타,36.6226787,127.4863023
뚱이미니족발,기타,36.6221515,127.4864316
항아리손칼국수,기타,36.6289628,127.4741712
사직골 본점,기타,36.6358359,127.4825069
제부도해물손칼국수,기타,36.6442243,127.4794678
곤드레남원추어탕,기타,36.6325908,127.4794011
우대본가,기타,36.6349556,127.4819848
고기에반하다,기타,36.6447807,127.48131
육쌈냉면 충북대점,기타,36.6322003,127.4570231
쪼르르,기타,36.6316618,127.460775
화이트스노우 충북대점,기타,36.6315455,127.4608161
너구리,기타,36.6326385,127.4576736
카페마냐나,기타,36.6344033,127.4629143
사막의하얀꽃 중문점,기타,36.6329466,127.4589587
대도영지한우,기타,36.6367349,127.4658645
신대박부속구이 산남1호점,기타,36.6119455,127.4702771
정육식당 두릅소한우,기타,36.6088768,127.4759976
진원소우 청주산남점,기타,36.6083604,127.4758223
어촌별미 산남본점,일식,36.6117883,127.4669571
청주한우청우,기타,36.6065479,127.4715323
우설화 청주점,기타,36.6167868,127.4693527
쭈미쭈미 본점,기타,36.6083604,127.4758223
크랩파파,기타,36.6195964,127.4573489
맷돌포두부,기타,36.6111586,127.4473713
카페하이,기타,36.610852,127.4498941
카페마레,기타,36.6139826,127.4502335
진짜숯불왕소금구이,기타,36.6164966,127.4718826
고박사해물탕,기타,36.6152239,127.486494
연탄불에모든것을,기타,36.617168,127.4805334
중화요리양장피 탕수육 칠리새우전문점텐미미 수곡점,중식,36.620238,127.4871232
클레이포트,기타,36.6189785,127.4826272
돈아돈아,기타,36.6168549,127.4798627
갤러리카페111,기타,36.590487,127.4779527
카페알지,기타,36.5935075,127.4777336
청주잔치국수,기타,36.5952251,127.4812948
꽃향기카페,기타,36.5985169,127.4822062
행복가득밥상,기타,36.5967543,127.4771088
염소총각,기타,36.5966669,127.4728113
삼일보신 본점,기타,36.5948413,127.4854093
차봄,기타,36.594794,127.4858599
원조중원탑막국수 청주본점,기타,36.6055642,127.4404036
강쇠낙지마을 청주본점,기타,36.6076956,127.4415419
소문난 도원아구찜해물탕,기타,36.6152344,127.4451307
신동궁감자탕뼈숯불구이 가경점,기타,36.6158232,127.4453206
최피디해물칼국수 본점,기타,36.5862121,127.4657846
다게르,기타,36.5988899,127.456
푸르댕댕,기타,36.5903843,127.4064823
7000RPM카페,기타,36.6032657,127.4115397
카페목,기타,36.5851308,127.4661361
교동면옥 청주죽림점,기타,36.60458029999999,127.4410691
모리네집,기타,36.5949099,127.4382058
낙원식당,기타,36.4762845,127.4703233
숯골진냉면,기타,36.4571668,127.4523075
세모카페,기타,36.4541271,127.4415332
위스램,기타,36.6261666,127.4336649
효자집생고기,기타,36.6228786,127.4351095
마장동참숯뒷고기,기타,36.6268106,127.4335439
아메리카노라운지,기타,36.6253579,127.4279902
표가네명품순두부 강서점,기타,36.623845,127.4301284
영칼로리 포케&샐러드 청주강서가경점,기타,36.6267413,127.4291308
한라산,기타,36.6235689,127.4258628
봉이족발보쌈,기타,36.6355179,127.4275336
삼대째손두부 본점,기타,36.6381017,127.4319015
마산아구찜,기타,36.6344989,127.4291117
고혼,기타,36.6385966,127.43591
팔팔문어전복탕 청주본점,기타,36.6371183,127.4225369
항아리보쌈 비하점,기타,36.6332992,127.4245429
반지하 본점,기타,36.6261624,127.4250735
우림칼국수 복대비하점,기타,36.63889650000001,127.4240391
커피합니다,기타,36.6263237,127.4250929
인문아카이브 양림&후마니타스,기타,36.6281496,127.4154724
청주원산냉면,기타,36.6434501,127.4610067
뚝심,기타,36.6396843,127.4610906
그레이맨션,기타,36.644444,127.462126
전통꽃게장,기타,36.644408,127.4579398
육고집 봉명점,기타,36.649553,127.457901
원해물탕,기타,36.6471775,127.4616887
탐라도니,기타,36.6502438,127.458037
삼미원,기타,36.6491389,127.4553012
본도시락 청주복대점,기타,36.6405394,127.4400258
멜티드,기타,36.6431397,127.4349381
그래비티,기타,36.6425381,127.435884
새참마실,기타,36.6406538,127.4404148
마그레세라,기타,36.6431725,127.4519081
세중테크노밸리 구내식당,기타,36.6424832,127.4370226
생선구이전문점 정가네,기타,36.6463126,127.4773033
동해해물탕,기타,36.6467852,127.4776486
정가네칼국수,기타,36.6440205,127.4748547
청주고양이입양지원센터 애니멀공화국,기타,36.6449883,127.4765647
공주칼국수,기타,36.65048540000001,127.4749286
엘리펀트테라스,기타,36.6460712,127.4760743
들락날락,기타,36.6464144,127.4762866
돈우마을 청주점,기타,36.6520781,127.4749234
노리,기타,36.6456832,127.4768807
컴포트,기타,36.64570070000001,127.4759883
카페루나,기타,36.5863201,127.4871593
도그투게더,기타,36.5849807,127.4860298
티숨,기타,36.5932745,127.4882296
쭈꾸미애전설,기타,36.5869715,127.4901532
바바스커피 직영점,기타,36.5896263,127.4890269
장암흑염소사냥,기타,36.5878664,127.4912783
청와푸드,기타,36.5889424,127.4915487
오가네해물손칼국수,기타,36.5935066,127.4872942
우별당 오송점,기타,36.6203857,127.3217398
연화낙지,기타,36.6254733,127.3250987
카페540,기타,36.6264988,127.3228242
마왕족발 청주오송점,기타,36.6307173,127.3307481
통큰감자탕 옥산점,기타,36.663376,127.3752868
옥산민물매운탕,기타,36.6723074,127.3859846
표가네명품순두부 청주옥산점,기타,36.6620322,127.3770294
오미짜글이쭈꾸미구이,기타,36.6586804,127.3683277
루트507,기타,36.663376,127.3752868
던킨 옥산휴게소하행점,기타,36.6580299,127.3696722
아구좋은날,기타,36.6658816,127.3725316
콘벨트 청주점,기타,36.62193680000001,127.3542307
로버스그릴,기타,36.62193680000001,127.3542307
서원골,기타,36.6079288,127.3523122
탑연골,기타,36.6211744,127.3600757
눈이 부시개,기타,36.6192029,127.3639925
배스킨라빈스 청주강내점,기타,36.6233564,127.3589424
평동전통떡마을,기타,36.6586974,127.4147941
투더문,기타,36.6502017,127.4212823
고박사냉면 서청주점,기타,36.6561817,127.4336356
싱그레복집 지웰시티점,기타,36.6513229,127.4226018
이해윤추어명가 청주지웰시티점,기타,36.651498,127.4214634
엘림,기타,36.6566019,127.4101838
정카페&미정뷰티,기타,36.6543416,127.4134702
커피팜스,기타,36.6687347,127.4327504
캠핑펍글러브,기타,36.6725912,127.4405844
일면식,기타,36.6537036,127.4933904
할머니추어탕,기타,36.6641078,127.4882267
리정,기타,36.6545149,127.4866335
동방생고기정육점식당 본점,기타,36.6570611,127.4854199
콩가루생삼겹살,기타,36.6525476,127.4878291
생어거스틴 청주원더아리아점,기타,36.6424198,127.4890108
초가집바지락손칼국수,한식,36.6562025,127.4756267
바램 본점,기타,36.6660051,127.4991282
조선게장집,한식,36.6673988,127.4880248
이화연가 청주본점,한식,36.6647286,127.4984187
고래감자탕 청주율량점,한식,36.6647286,127.4984187
산더미해물찜해담 본점,한식,36.6657862,127.49642
청원한우마실,한식,36.7408232,127.4263868
대구왕뽈때기,한식,36.7157021,127.4298779
김산기염소탕 오창본점,한식,36.724232,127.4338482
동이생고기 오창점,한식,36.732102,127.4508048
하노이,기타,36.7125276,127.4302562
홍홍대패,한식,36.7151343,127.4304941
타이어하우스,한식,36.739025,127.5301191
맛고을,한식,36.7559158,127.5484261
오근장막국수,한식,36.684431,127.483235
